action_type,control_signal_ankle,control_signal_knee,domainindex,force_heel,force_toe,imu_position_ankle,imu_position_knee,imu_velocity_ankle,imu_velocity_knee,ishumanswing,position_actual_ankle,position_actual_knee,position_desired_ankle,position_desired_knee,tau,time_stance,time_swing,torque_actual_ankle,torque_actual_knee,torque_desired_ankle,torque_desired_knee,torque_imped_ankle,torque_imped_knee,torque_pd_ankle,torque_pd_knee,torque_qp_ankle,torque_qp_knee,vahid_kdR_ns,vahid_knee_torque,vahid_lambdaR_ns,vahid_xhip_actual,vahid_xhip_desired,vahid_zhip_actual,vahid_zhip_desired,velocity_actual_ankle,velocity_actual_knee,velocity_desired_ankle,velocity_desired_knee
1,1.58460056782,-0.959489047527,0,0,0,0,0,0,0,1,-0.150540485978,0.416450202465,0,0.372697502375,0.183956936002,0,0,10.5202999115,-4.40496015549,10.5375928879,-4.37526988983,0,0,10.5375928879,-4.37526988983,0,0,20,0,10,-0.0540040135384,-0.0550518110394,0.81181615591,0.8153616786,2.41054094658E-05,0,0,0
1,1.58460056782,-0.959489047527,0,0,0,0,0,0,0,1,-0.150540485978,0.416450202465,0,0.372697502375,0.183956936002,0,0,10.5668497086,-4.40496015549,10.5375928879,-4.37526988983,0,0,10.5375928879,-4.37526988983,0,0,20,0,10,-0.0540040135384,-0.0550518110394,0.81181615591,0.8153616786,2.41054094658E-05,0,0,0
1,1.58460056782,-0.959489047527,0,0,0,0,0,0,0,1,-0.150540485978,0.416450202465,0,0.372697502375,0.183956936002,0,0,10.5202999115,-4.34111976624,10.5375928879,-4.37526988983,0,0,10.5375928879,-4.37526988983,0,0,20,0,10,-0.0540040135384,-0.0550518110394,0.81181615591,0.8153616786,2.41054094658E-05,0,0,0
1,1.58460056782,-0.959489047527,0,0,0,0,0,0,0,1,-0.150540485978,0.416450202465,0,0.372697502375,0.183956936002,0,0,10.4271993637,-4.34111976624,10.5375928879,-4.37526988983,0,0,10.5375928879,-4.37526988983,0,0,20,0,10,-0.0540040135384,-0.0550518110394,0.81181615591,0.8153616786,2.41054094658E-05,0,0,0
1,1.58460056782,-0.959489047527,0,0,0,0,0,0,0,1,-0.150540485978,0.416450202465,0,0.372697502375,0.183956936002,0,0,10.5202999115,-4.37303972244,10.5375928879,-4.37526988983,0,0,10.5375928879,-4.37526988983,0,0,20,0,10,-0.0540040135384,-0.0550518110394,0.81181615591,0.8153616786,2.41054094658E-05,0,0,0
1,1.58460056782,-0.959489047527,0,0,0,0,0,0,0,1,-0.150540485978,0.416450202465,0,0.372697502375,0.183956936002,0,0,10.5202999115,-4.40496015549,10.5375928879,-4.37526988983,0,0,10.5375928879,-4.37526988983,0,0,20,0,10,-0.0540040135384,-0.0550518110394,0.81181615591,0.8153616786,2.41054094658E-05,0,0,0
1,1.58460056782,-0.959489047527,0,0,0,0,0,0,0,1,-0.150540485978,0.416450202465,0,0.372697502375,0.183956936002,0,0,10.6133995056,-4.37303972244,10.5375928879,-4.37526988983,0,0,10.5375928879,-4.37526988983,0,0,20,0,10,-0.0540040135384,-0.0550518110394,0.81181615591,0.8153616786,2.41054094658E-05,0,0,0
1,1.58460056782,-0.959489047527,0,0,0,0,0,0,0,1,-0.150540485978,0.416450202465,0,0.372697502375,0.183956936002,0,0,10.4737501144,-4.34111976624,10.5375928879,-4.37526988983,0,0,10.5375928879,-4.37526988983,0,0,20,0,10,-0.0540040135384,-0.0550518110394,0.81181615591,0.8153616786,2.41054094658E-05,0,0,0
1,1.58460056782,-0.959489047527,0,0,0,0,0,0,0,1,-0.150540485978,0.416450202465,0,0.372697502375,0.183956936002,0,0,10.5668497086,-4.40496015549,10.5375928879,-4.37526988983,0,0,10.5375928879,-4.37526988983,0,0,20,0,10,-0.0540040135384,-0.0550518110394,0.81181615591,0.8153616786,2.41054094658E-05,0,0,0
1,1.58460056782,-0.959489047527,0,0,0,0,0,0,0,1,-0.150540485978,0.416450202465,0,0.372697502375,0.183956936002,0,0,10.5668497086,-4.43687963486,10.5375928879,-4.37526988983,0,0,10.5375928879,-4.37526988983,0,0,20,0,10,-0.0540040135384,-0.0550518110394,0.81181615591,0.8153616786,2.41054094658E-05,0,0,0
1,1.58455085754,-0.959496319294,0,0,0,0,0,0,0,1,-0.150538280606,0.416450202465,0,0.372697174549,0.183954626322,0,0,10.4737501144,-4.37303972244,10.5372629166,-4.3753027916,0,0,10.5372629166,-4.3753027916,0,0,20,0,10,-0.054005920887,-0.0550536513329,0.811816036701,0.815361618996,4.16366165155E-05,0,0,0
1,1.58455085754,-0.959496319294,0,0,0,0,0,0,0,1,-0.150538280606,0.416450202465,0,0.372697174549,0.183954626322,0,0,10.5202999115,-4.34111976624,10.5372629166,-4.3753027916,0,0,10.5372629166,-4.3753027916,0,0,20,0,10,-0.054005920887,-0.0550536513329,0.811816036701,0.815361618996,4.16366165155E-05,0,0,0
1,1.58455085754,-0.959496319294,0,0,0,0,0,0,0,1,-0.150538280606,0.416450202465,0,0.372697174549,0.183954626322,0,0,10.5202999115,-4.40496015549,10.5372629166,-4.3753027916,0,0,10.5372629166,-4.3753027916,0,0,20,0,10,-0.054005920887,-0.0550536513329,0.811816036701,0.815361618996,4.16366165155E-05,0,0,0
1,1.58455085754,-0.959496319294,0,0,0,0,0,0,0,1,-0.150538280606,0.416450202465,0,0.372697174549,0.183954626322,0,0,10.5202999115,-4.34111976624,10.5372629166,-4.3753027916,0,0,10.5372629166,-4.3753027916,0,0,20,0,10,-0.054005920887,-0.0550536513329,0.811816036701,0.815361618996,4.16366165155E-05,0,0,0
1,1.58455085754,-0.959496319294,0,0,0,0,0,0,0,1,-0.150538280606,0.416450202465,0,0.372697174549,0.183954626322,0,0,10.5202999115,-4.43687963486,10.5372629166,-4.3753027916,0,0,10.5372629166,-4.3753027916,0,0,20,0,10,-0.054005920887,-0.0550536513329,0.811816036701,0.815361618996,4.16366165155E-05,0,0,0
1,1.58455085754,-0.959496319294,0,0,0,0,0,0,0,1,-0.150538280606,0.416450202465,0,0.372697174549,0.183954626322,0,0,10.6133995056,-4.37303972244,10.5372629166,-4.3753027916,0,0,10.5372629166,-4.3753027916,0,0,20,0,10,-0.054005920887,-0.0550536513329,0.811816036701,0.815361618996,4.16366165155E-05,0,0,0
1,1.58449840546,-0.959502875805,0,0,0,0,0,0,0,1,-0.150536105037,0.416450202465,0,0.372696876526,0.183952376246,0,0,10.5202999115,-4.34111976624,10.5369138718,-4.37533283234,0,0,10.5369138718,-4.37533283234,0,0,20,0,10,-0.0540077984333,-0.0550554320216,0.811815917492,0.815361499786,6.13592274021E-05,0,0,0
1,1.58448851109,-0.959502875805,0,0,0,0,0,0,0,1,-0.150536105037,0.416450202465,0,0.372696876526,0.183952376246,0,0,10.5668497086,-4.40496015549,10.5368480682,-4.37533283234,0,0,10.5368480682,-4.37533283234,0,0,20,0,10,-0.0540077984333,-0.0550554320216,0.811815917492,0.815361499786,6.79334334563E-05,0,0,0
1,1.58448851109,-0.959502875805,0,0,0,0,0,0,0,1,-0.150536105037,0.416450202465,0,0.372696876526,0.183952376246,0,0,10.6133995056,-4.40496015549,10.5368480682,-4.37533283234,0,0,10.5368480682,-4.37533283234,0,0,20,0,10,-0.0540077984333,-0.0550554320216,0.811815917492,0.815361499786,6.79334334563E-05,0,0,0
1,1.58448851109,-0.959502875805,0,0,0,0,0,0,0,1,-0.150536105037,0.416450202465,0,0.372696876526,0.183952376246,0,0,10.4271993637,-4.37303972244,10.5368480682,-4.37533283234,0,0,10.5368480682,-4.37533283234,0,0,20,0,10,-0.0540077984333,-0.0550554320216,0.811815917492,0.815361499786,6.79334334563E-05,0,0,0
